investor_id,average_gap_days,total_sips,total_investment,status
INV000892,182.0,3,17721,At Risk
INV000893,59.5,7,93208,At Risk
INV000894,55.0,6,36994,At Risk
INV000895,204.5,3,35559,At Risk
INV000896,173.0,2,17745,At Risk
INV000897,124.5,3,18987,At Risk
INV000898,5.0,2,10141,Regular
INV000900,131.0,2,3411,At Risk
INV000901,54.0,6,36100,At Risk
INV000902,73.0,5,64246,At Risk
INV000904,197.0,3,4447,At Risk
INV000906,143.5,3,26593,At Risk
INV000907,59.2,6,26520,At Risk
INV000908,37.33,4,43892,At Risk
INV000909,131.0,4,32246,At Risk
INV000910,88.25,5,32402,At Risk
INV000912,116.67,4,22486,At Risk
INV000913,152.67,4,66722,At Risk
INV000914,107.0,5,44201,At Risk
INV000915,130.33,4,17046,At Risk
INV000918,56.0,2,4698,At Risk
INV000919,110.0,3,19485,At Risk
INV000920,75.6,6,97652,At Risk
INV000921,290.0,2,13359,At Risk
INV000922,100.0,4,17228,At Risk
INV000925,107.5,3,11916,At Risk
INV000926,80.0,6,67012,At Risk
INV000927,36.75,5,138913,At Risk
INV000929,58.17,7,150139,At Risk
INV000930,32.43,8,92989,Regular
INV000931,86.25,5,52234,At Risk
INV000933,199.0,3,90090,At Risk
INV000934,59.0,2,5175,At Risk
INV000935,30.88,9,152824,Regular
INV000938,153.0,2,48318,At Risk
INV000939,60.57,8,69507,At Risk
INV000941,455.0,2,55049,At Risk
INV000942,53.0,7,138493,At Risk
INV000944,165.0,3,67343,At Risk
INV000946,129.0,3,50753,At Risk
INV000947,127.33,4,97073,At Risk
INV000948,17.0,2,26350,Regular
INV000949,67.5,7,49784,At Risk
INV000950,91.0,6,37182,At Risk
INV000953,141.5,3,19249,At Risk
INV000954,126.75,5,35124,At Risk
INV000955,186.5,3,22811,At Risk
INV000957,114.67,4,15079,At Risk
INV000958,164.0,3,85189,At Risk
INV000959,48.0,5,35571,At Risk
INV000960,110.5,3,15825,At Risk
INV000961,151.67,4,28193,At Risk
INV000962,86.0,5,15414,At Risk
INV000963,138.0,3,12464,At Risk
INV000964,59.0,2,2972,At Risk
INV000966,119.0,2,23371,At Risk
INV000967,47.0,2,8000,At Risk
INV000968,302.0,2,49877,At Risk
INV000969,88.33,4,52354,At Risk
INV000970,41.0,4,62098,At Risk
INV000971,46.83,7,38940,At Risk
INV000972,62.0,5,23388,At Risk
INV000974,73.5,7,40022,At Risk
INV000977,48.78,10,129735,At Risk
INV000978,93.67,4,19640,At Risk
INV000979,79.8,6,141450,At Risk
INV000980,44.43,8,208518,At Risk
INV000981,50.4,6,68442,At Risk
INV000982,42.0,3,26825,At Risk
INV000983,94.33,4,23439,At Risk
INV000984,89.33,4,67407,At Risk
INV000985,149.5,3,22378,At Risk
INV000986,60.83,7,166388,At Risk
INV000987,132.0,2,1302,At Risk
INV000989,249.0,3,22501,At Risk
INV000990,133.0,4,11478,At Risk
INV000992,138.67,4,20271,At Risk
INV000994,63.8,6,55817,At Risk
INV000995,18.0,4,16959,Regular
INV000997,85.0,4,44707,At Risk
INV000998,52.67,4,16014,At Risk
INV000999,66.75,5,103076,At Risk
INV001001,60.29,8,67731,At Risk
INV001002,41.67,7,38098,At Risk
INV001003,138.0,2,3056,At Risk
INV001004,93.0,3,16550,At Risk
INV001005,93.6,6,74535,At Risk
INV001006,58.0,5,89924,At Risk
INV001008,64.67,7,63227,At Risk
INV001009,120.0,3,14821,At Risk
INV001011,241.5,3,54666,At Risk
INV001012,40.5,5,37573,At Risk
INV001013,96.8,6,81838,At Risk
INV001014,151.0,4,34008,At Risk
INV001015,85.0,2,1004,At Risk
INV001016,170.0,3,68424,At Risk
INV001017,67.0,6,27846,At Risk
INV001019,44.88,9,62583,At Risk
INV001020,54.0,2,74061,At Risk
INV001021,68.67,7,54295,At Risk
INV001023,72.43,8,38036,At Risk
INV001024,179.5,3,6165,At Risk
INV001025,38.8,6,77009,At Risk
INV001026,69.4,6,51600,At Risk
INV001027,77.25,5,58722,At Risk
INV001028,85.33,4,33819,At Risk
INV001029,69.5,5,33347,At Risk
INV001031,114.0,5,105296,At Risk
INV001034,100.0,3,101708,At Risk
INV001036,164.0,4,22234,At Risk
INV001037,42.0,10,73922,At Risk
INV001038,113.0,2,3768,At Risk
INV001039,66.2,6,19840,At Risk
INV001040,132.0,2,3852,At Risk
INV001041,83.0,7,72624,At Risk
INV001042,117.5,3,14247,At Risk
INV001043,124.25,5,60711,At Risk
INV001044,117.0,2,51913,At Risk
INV001045,69.75,5,57896,At Risk
INV001046,36.0,2,4861,At Risk
INV001047,66.17,7,52894,At Risk
INV001048,47.0,8,36491,At Risk
INV001049,136.0,4,55324,At Risk
INV001050,130.33,4,20756,At Risk
INV001051,54.14,8,57451,At Risk
INV001052,285.0,2,11321,At Risk
INV001053,55.86,8,46140,At Risk
INV001054,183.0,2,45726,At Risk
INV001055,93.2,6,77109,At Risk
INV001057,228.0,2,4987,At Risk
INV001058,61.33,4,26912,At Risk
INV001059,207.0,3,39319,At Risk
INV001060,53.38,9,113690,At Risk
INV001061,51.12,9,99794,At Risk
INV001062,101.5,3,14928,At Risk
INV001063,43.29,8,30795,At Risk
INV001064,59.5,9,151648,At Risk
INV001065,116.0,4,28821,At Risk
INV001066,32.0,2,6035,Regular
INV001067,187.5,3,6910,At Risk
INV001068,102.67,4,81861,At Risk
INV001069,41.29,8,96230,At Risk
INV001070,97.0,6,103923,At Risk
INV001071,23.0,2,20819,Regular
INV001072,128.0,2,16885,At Risk
INV001073,7.0,3,3553,Regular
INV001074,68.75,5,39305,At Risk
INV001075,76.5,5,73378,At Risk
INV001076,298.0,2,64919,At Risk
INV001077,112.5,3,46016,At Risk
INV001079,111.5,5,151480,At Risk
INV001080,37.0,4,16809,At Risk
INV001081,395.0,2,32182,At Risk
INV001082,113.67,4,55784,At Risk
INV001083,70.0,4,60897,At Risk
INV001085,155.0,2,27438,At Risk
INV001086,112.0,2,16288,At Risk
INV001087,95.25,5,43225,At Risk
INV001088,72.33,4,46161,At Risk
INV001091,101.67,4,16792,At Risk
INV001092,77.33,7,75632,At Risk
INV001093,52.33,4,17410,At Risk
INV001094,145.0,2,7065,At Risk
INV001095,244.0,2,942,At Risk
INV001096,68.25,5,40543,At Risk
INV001099,26.14,8,135739,Regular
INV001101,142.33,4,16609,At Risk
INV001102,55.33,7,87539,At Risk
INV001103,111.0,4,42719,At Risk
INV001106,237.5,3,12177,At Risk
INV001107,46.0,3,21564,At Risk
INV001108,144.0,3,35410,At Risk
INV001109,87.0,3,18280,At Risk
INV001110,147.0,2,58878,At Risk
INV001111,101.5,3,59208,At Risk
INV001112,50.0,5,41142,At Risk
INV001113,46.67,4,67937,At Risk
INV001114,406.0,2,8323,At Risk
INV001115,81.4,6,51387,At Risk
INV001116,58.12,9,74728,At Risk
INV001117,61.71,8,53882,At Risk
INV001118,124.33,4,52437,At Risk
INV001119,327.0,2,55205,At Risk
INV001120,72.0,2,3684,At Risk
INV001121,134.5,3,51383,At Risk
INV001122,309.0,2,16548,At Risk
INV001123,107.0,5,78970,At Risk
INV001124,89.0,3,64400,At Risk
INV001126,23.0,2,4020,Regular
INV001127,189.0,2,23649,At Risk
INV001128,72.0,3,59709,At Risk
INV001130,76.83,7,139695,At Risk
INV001131,156.67,4,7463,At Risk
INV001133,69.33,4,53241,At Risk
INV001136,58.0,2,53276,At Risk
INV001137,57.0,7,35691,At Risk
INV001138,134.67,4,19202,At Risk
INV001139,325.0,2,1586,At Risk
INV001140,60.4,6,39628,At Risk
INV001141,97.6,6,34460,At Risk
INV001142,42.83,7,60116,At Risk
INV001143,85.0,3,66110,At Risk
INV001144,125.5,3,54158,At Risk
INV001145,23.0,3,51076,Regular
INV001148,85.0,3,50180,At Risk
INV001149,146.5,3,11823,At Risk
INV001150,131.5,3,68453,At Risk
INV001151,205.5,3,6205,At Risk
INV001152,77.67,4,18173,At Risk
INV001154,165.67,4,74649,At Risk
INV001155,89.5,3,21059,At Risk
INV001156,102.4,6,51977,At Risk
INV001157,76.25,5,30816,At Risk
INV001158,224.0,3,29456,At Risk
INV001160,57.57,8,45043,At Risk
INV001161,80.6,6,146262,At Risk
INV001163,67.33,7,33877,At Risk
INV001164,202.0,2,1361,At Risk
INV001165,55.5,5,86702,At Risk
INV001166,108.0,5,54672,At Risk
INV001167,96.2,6,78024,At Risk
INV001168,83.25,5,42348,At Risk
INV001169,226.0,3,63720,At Risk
INV001170,68.2,6,70673,At Risk
INV001171,92.0,4,11772,At Risk
INV001172,107.0,2,4661,At Risk
INV001173,67.0,6,58382,At Risk
INV001174,221.0,3,16688,At Risk
INV001175,79.75,5,47429,At Risk
INV001176,81.0,2,60345,At Risk
INV001178,79.67,7,37864,At Risk
INV001180,74.4,6,104216,At Risk
INV001181,67.43,8,91218,At Risk
INV001182,10.0,2,32602,Regular
INV001183,62.25,5,9202,At Risk
INV001185,79.75,5,64264,At Risk
INV001186,78.0,5,19334,At Risk
INV001189,60.0,3,26779,At Risk
INV001190,97.0,6,45744,At Risk
INV001191,48.0,2,1629,At Risk
INV001192,77.67,4,99220,At Risk
INV001193,54.33,4,27526,At Risk
INV001194,84.5,3,23950,At Risk
INV001195,53.43,8,127687,At Risk
INV001196,92.2,6,61840,At Risk
INV001197,121.0,3,31450,At Risk
INV001198,114.5,5,59777,At Risk
INV001199,143.0,2,27384,At Risk
INV001200,354.0,2,3813,At Risk
INV001202,58.0,8,54919,At Risk
INV001203,225.0,2,14436,At Risk
INV001204,158.5,3,12269,At Risk
INV001206,83.6,6,76395,At Risk
INV001207,65.25,5,75270,At Risk
INV001208,51.83,7,68466,At Risk
INV001209,45.0,3,18180,At Risk
INV001210,36.88,9,84090,At Risk
INV001212,79.0,5,43589,At Risk
INV001213,201.0,3,61623,At Risk
INV001215,160.0,4,53237,At Risk
INV001216,362.0,2,10679,At Risk
INV001217,60.14,8,99061,At Risk
INV001218,98.0,5,12857,At Risk
INV001219,50.86,8,90473,At Risk
INV001220,77.17,7,18410,At Risk
INV001221,113.0,5,42458,At Risk
INV001222,85.75,5,68234,At Risk
INV001223,70.83,7,81600,At Risk
INV001224,40.0,4,43338,At Risk
INV001225,164.0,3,61684,At Risk
INV001227,66.33,4,16469,At Risk
INV001228,95.5,5,113772,At Risk
INV001229,103.0,2,31781,At Risk
INV001230,44.33,4,73314,At Risk
INV001232,146.33,4,62843,At Risk
INV001233,98.0,3,20309,At Risk
INV001234,60.57,8,91103,At Risk
INV001235,59.0,9,125966,At Risk
INV001236,146.67,4,38257,At Risk
INV001237,98.0,6,66778,At Risk
INV001238,68.5,7,45560,At Risk
INV001241,41.33,4,68660,At Risk
INV001242,69.8,6,26658,At Risk
INV001244,42.75,5,56569,At Risk
INV001246,184.0,2,54373,At Risk
INV001247,61.0,5,42713,At Risk
INV001249,119.33,4,71971,At Risk
INV001250,353.0,2,6064,At Risk
INV001251,82.0,6,142919,At Risk
INV001254,124.0,2,5845,At Risk
INV001255,118.0,4,79571,At Risk
INV001256,195.5,3,36794,At Risk
INV001257,108.25,5,46808,At Risk
INV001258,58.0,2,16526,At Risk
INV001259,115.25,5,73477,At Risk
INV001260,89.5,5,44394,At Risk
INV001261,61.0,5,41900,At Risk
INV001262,44.83,7,135943,At Risk
INV001263,139.0,2,7729,At Risk
INV001264,78.5,5,57735,At Risk
INV001265,79.75,5,39862,At Risk
INV001267,293.0,2,11428,At Risk
INV001269,97.5,5,41570,At Risk
INV001271,107.33,4,17025,At Risk
INV001273,146.67,4,37396,At Risk
INV001274,73.33,7,56609,At Risk
INV001275,66.67,7,51676,At Risk
INV001276,158.0,3,6313,At Risk
INV001277,420.0,2,26831,At Risk
INV001279,160.33,4,24799,At Risk
INV001280,8.0,2,7350,Regular
INV001281,148.0,4,36519,At Risk
INV001282,67.0,6,50374,At Risk
INV001284,73.5,5,33622,At Risk
INV001286,20.0,3,61766,Regular
INV001287,92.2,6,74519,At Risk
INV001288,45.67,7,127240,At Risk
INV001289,171.0,3,70123,At Risk
INV001290,294.0,2,5446,At Risk
INV001291,76.2,6,118076,At Risk
INV001292,116.0,2,15584,At Risk
INV001295,50.75,9,66843,At Risk
INV001297,247.0,2,11668,At Risk
INV001298,71.83,7,13160,At Risk
INV001299,51.25,9,67906,At Risk
INV001300,98.0,3,23857,At Risk
INV001304,97.6,6,127605,At Risk
INV001305,42.0,2,14153,At Risk
INV001306,92.0,2,44975,At Risk
INV001307,304.0,2,53845,At Risk
INV001308,54.62,9,145248,At Risk
INV001310,81.2,6,48861,At Risk
INV001311,151.33,4,96628,At Risk
INV001312,76.0,4,31544,At Risk
INV001314,50.44,10,196028,At Risk
INV001315,51.83,7,62854,At Risk
INV001316,92.4,6,14835,At Risk
INV001317,84.8,6,29592,At Risk
INV001318,46.22,10,112663,At Risk
INV001319,45.33,4,34135,At Risk
INV001320,61.5,5,74537,At Risk
INV001321,81.5,5,35321,At Risk
INV001322,145.0,3,56700,At Risk
INV001325,165.0,4,101424,At Risk
INV001326,69.43,8,103082,At Risk
INV001328,71.0,2,2460,At Risk
INV001329,68.2,6,60331,At Risk
INV001330,107.0,3,60482,At Risk
INV001331,94.2,6,31343,At Risk
INV001332,80.0,7,56992,At Risk
INV001333,78.67,7,11779,At Risk
INV001334,101.0,5,29292,At Risk
INV001336,65.86,8,94852,At Risk
INV001337,81.33,4,57894,At Risk
INV001341,155.0,3,7214,At Risk
INV001342,106.75,5,166436,At Risk
INV001343,93.33,4,21176,At Risk
INV001345,117.0,4,23187,At Risk
INV001346,63.5,5,68022,At Risk
INV001347,265.0,2,5374,At Risk
INV001348,47.83,7,91022,At Risk
INV001350,411.0,2,47812,At Risk
INV001351,70.5,7,146308,At Risk
INV001352,23.33,4,4364,Regular
INV001353,73.0,5,67466,At Risk
INV001354,131.33,4,50743,At Risk
INV001355,60.2,6,41992,At Risk
INV001356,79.2,6,39847,At Risk
INV001357,53.33,4,76186,At Risk
INV001359,72.5,7,109856,At Risk
INV001361,50.5,7,99669,At Risk
INV001362,29.5,3,8218,Regular
INV001363,76.0,5,116948,At Risk
INV001365,50.5,3,8511,At Risk
INV001366,88.25,5,35217,At Risk
INV001367,99.0,6,71798,At Risk
INV001369,106.0,4,70107,At Risk
INV001370,102.75,5,55762,At Risk
INV001372,180.5,3,43739,At Risk
INV001373,154.0,2,9017,At Risk
INV001374,33.0,2,55249,Regular
INV001375,78.5,7,46716,At Risk
INV001376,78.67,7,66059,At Risk
INV001377,44.67,4,28707,At Risk
INV001379,50.0,4,63899,At Risk
INV001382,151.5,3,6862,At Risk
INV001383,56.14,8,80080,At Risk
INV001384,115.67,4,101778,At Risk
INV001385,236.5,3,8244,At Risk
INV001386,201.0,2,9619,At Risk
INV001387,57.25,9,111470,At Risk
INV001388,262.0,2,52919,At Risk
INV001390,205.0,3,28186,At Risk
INV001391,87.33,4,82296,At Risk
INV001392,50.33,4,48437,At Risk
INV001393,208.0,2,35138,At Risk
INV001394,63.57,8,127115,At Risk
INV001395,130.67,4,19329,At Risk
INV001396,122.0,2,6761,At Risk
INV001397,117.25,5,37205,At Risk
INV001398,144.0,4,63935,At Risk
INV001399,71.33,4,45618,At Risk
INV001400,76.8,6,111893,At Risk
INV001401,68.6,6,39421,At Risk
INV001402,141.33,4,52214,At Risk
INV001404,201.0,2,57114,At Risk
INV001405,130.33,4,74645,At Risk
INV001406,47.67,10,71494,At Risk
INV001407,45.2,6,49474,At Risk
INV001408,46.0,2,5228,At Risk
INV001409,48.5,5,61407,At Risk
INV001410,131.33,4,32517,At Risk
INV001411,114.0,5,93189,At Risk
INV001412,141.0,2,70303,At Risk
INV001413,80.0,5,137147,At Risk
INV001415,68.14,8,48063,At Risk
INV001416,303.0,2,66259,At Risk
INV001418,88.6,6,27688,At Risk
INV001419,85.8,6,67428,At Risk
INV001420,272.0,2,5839,At Risk
INV001421,108.75,5,21928,At Risk
INV001422,33.0,4,37445,Regular
INV001423,48.57,8,64384,At Risk
INV001424,155.0,4,62774,At Risk
INV001425,445.0,2,7051,At Risk
INV001428,79.4,6,72032,At Risk
INV001431,49.5,3,29472,At Risk
INV001432,71.4,6,22656,At Risk
INV001433,71.5,3,30652,At Risk
INV001434,80.6,6,73116,At Risk
INV001435,36.0,2,12503,At Risk
INV001436,37.0,2,6232,At Risk
INV001439,169.0,3,20699,At Risk
INV001440,226.0,2,65472,At Risk
INV001441,60.0,2,5453,At Risk
INV001442,57.12,9,67217,At Risk
INV001443,104.0,3,31246,At Risk
INV001444,54.0,3,27282,At Risk
INV001445,66.33,4,60403,At Risk
INV001446,139.0,2,55747,At Risk
INV001447,165.5,3,63064,At Risk
INV001448,96.0,2,7405,At Risk
INV001449,65.0,4,22208,At Risk
INV001450,71.0,3,12259,At Risk
INV001452,40.5,3,17460,At Risk
INV001453,148.0,3,33530,At Risk
INV001454,73.0,7,37667,At Risk
INV001455,64.71,8,47113,At Risk
INV001456,104.75,5,22194,At Risk
INV001457,43.8,6,85947,At Risk
INV001458,59.83,7,78518,At Risk
INV001460,77.0,4,45511,At Risk
INV001461,43.0,2,4821,At Risk
INV001462,80.0,5,77536,At Risk
INV001463,71.0,2,6219,At Risk
INV001465,145.5,3,6538,At Risk
INV001466,44.6,6,102555,At Risk
INV001467,94.25,5,29715,At Risk
INV001468,6.0,2,4751,Regular
INV001470,217.0,3,77304,At Risk
INV001472,79.0,6,119937,At Risk
INV001473,232.5,3,99078,At Risk
INV001475,98.5,3,60585,At Risk
INV001476,134.67,4,19659,At Risk
INV001478,159.33,4,32643,At Risk
INV001479,204.0,2,18461,At Risk
INV001480,95.67,4,16410,At Risk
INV001481,74.75,5,41199,At Risk
INV001482,80.6,6,84250,At Risk
INV001483,95.75,5,14640,At Risk
INV001484,18.0,2,54395,Regular
INV001485,55.0,9,113230,At Risk
INV001487,91.0,3,100742,At Risk
INV001488,158.0,3,11953,At Risk
INV001489,114.0,4,65586,At Risk
INV001491,98.8,6,37904,At Risk
INV001492,154.5,3,29785,At Risk
INV001494,221.5,3,11931,At Risk
INV001495,16.0,2,82936,Regular
INV001496,94.5,5,41086,At Risk
INV001497,63.0,9,77902,At Risk
INV001499,122.5,3,45138,At Risk
INV001500,107.5,3,12740,At Risk
INV001501,139.5,3,64970,At Risk
INV001503,74.67,4,33119,At Risk
INV001504,54.25,9,131804,At Risk
INV001505,296.0,2,44828,At Risk
INV001506,119.0,3,59584,At Risk
INV001507,86.2,6,24004,At Risk
INV001508,205.5,3,29154,At Risk
INV001510,66.83,7,113185,At Risk
INV001512,104.5,5,85125,At Risk
INV001513,79.0,3,60661,At Risk
INV001514,51.83,7,150056,At Risk
INV001515,129.67,4,7724,At Risk
INV001516,56.8,6,106727,At Risk
INV001518,59.5,5,126423,At Risk
INV001519,77.0,3,15153,At Risk
INV001521,88.0,5,11861,At Risk
INV001522,205.0,2,30513,At Risk
INV001524,95.25,5,143060,At Risk
INV001525,49.25,5,34792,At Risk
INV001526,50.4,6,45632,At Risk
INV001528,120.0,5,143212,At Risk
INV001530,64.67,7,18100,At Risk
INV001531,120.5,3,9618,At Risk
INV001532,56.83,7,82757,At Risk
INV001534,112.0,5,26242,At Risk
INV001535,226.0,3,68280,At Risk
INV001536,69.0,7,108107,At Risk
INV001537,85.0,3,33810,At Risk
INV001538,131.0,4,27042,At Risk
INV001539,306.0,2,7570,At Risk
INV001540,138.33,4,55777,At Risk
INV001542,63.0,5,30942,At Risk
INV001543,252.0,2,9347,At Risk
INV001544,106.5,5,52662,At Risk
INV001545,92.8,6,85986,At Risk
INV001547,72.17,7,75405,At Risk
INV001548,80.6,6,71244,At Risk
INV001549,50.0,5,109704,At Risk
INV001550,79.0,7,85924,At Risk
INV001551,61.8,6,18205,At Risk
INV001553,100.0,4,35672,At Risk
INV001554,5.0,2,58886,Regular
INV001555,199.0,2,60086,At Risk
INV001556,128.0,2,10078,At Risk
INV001557,371.0,2,8797,At Risk
INV001558,76.25,5,18240,At Risk
INV001560,214.0,3,40211,At Risk
INV001561,110.33,4,56644,At Risk
INV001562,44.22,10,66556,At Risk
INV001564,55.71,8,74288,At Risk
INV001566,153.0,3,23193,At Risk
INV001567,34.75,5,50242,Regular
INV001569,83.4,6,84525,At Risk
INV001570,304.0,2,6459,At Risk
INV001573,43.25,5,66076,At Risk
INV001574,64.0,5,39751,At Risk
INV001575,111.67,4,38391,At Risk
INV001576,113.0,5,53595,At Risk
INV001579,75.0,7,133855,At Risk
INV001580,45.67,7,85427,At Risk
INV001583,91.0,3,9832,At Risk
INV001584,47.5,3,30195,At Risk
INV001585,56.6,6,61091,At Risk
INV001586,89.33,4,14770,At Risk
INV001587,65.0,7,72452,At Risk
INV001588,74.5,3,12100,At Risk
INV001590,253.0,2,10890,At Risk
INV001591,69.0,2,58417,At Risk
INV001592,4.0,2,20172,Regular
INV001594,122.0,2,6429,At Risk
INV001595,131.67,4,38425,At Risk
INV001597,56.0,7,99091,At Risk
INV001598,98.5,5,114264,At Risk
INV001599,58.2,6,52681,At Risk
INV001600,260.0,2,48228,At Risk
INV001602,93.8,6,66310,At Risk
INV001603,54.5,7,64051,At Risk
INV001604,72.0,2,35689,At Risk
INV001605,60.57,8,161888,At Risk
INV001606,67.67,7,95656,At Risk
INV001607,462.0,2,4350,At Risk
INV001608,69.25,5,13355,At Risk
INV001609,60.67,4,108857,At Risk
INV001611,70.25,5,69045,At Risk
INV001612,85.5,5,24081,At Risk
INV001614,27.0,2,3283,Regular
INV001615,154.0,3,70793,At Risk
INV001616,53.0,9,153361,At Risk
INV001618,85.0,5,39101,At Risk
INV001619,175.0,3,16813,At Risk
INV001620,77.33,4,18355,At Risk
INV001621,167.0,3,39202,At Risk
INV001622,196.0,2,32767,At Risk
INV001623,92.0,6,62993,At Risk
INV001624,38.33,4,14738,At Risk
INV001625,72.0,6,15000,At Risk
INV001626,244.0,2,3171,At Risk
INV001627,118.0,4,22292,At Risk
INV001628,51.71,8,111394,At Risk
INV001629,67.5,7,34149,At Risk
INV001630,79.5,3,56687,At Risk
INV001631,57.0,6,9317,At Risk
INV001635,200.0,2,18218,At Risk
INV001636,48.88,9,35935,At Risk
INV001638,22.0,3,13670,Regular
INV001639,70.67,4,54629,At Risk
INV001640,21.0,5,104213,Regular
INV001641,88.4,6,77129,At Risk
INV001643,86.25,5,85611,At Risk
INV001644,65.6,6,123765,At Risk
INV001645,67.6,6,48283,At Risk
INV001646,129.0,3,48455,At Risk
INV001648,72.5,5,28604,At Risk
INV001649,51.67,10,113458,At Risk
INV001650,123.0,3,36296,At Risk
INV001651,78.67,7,162293,At Risk
INV001652,99.33,4,104616,At Risk
INV001653,55.2,6,76639,At Risk
INV001654,56.0,7,108816,At Risk
INV001655,40.67,4,39953,At Risk
INV001656,59.86,8,78037,At Risk
INV001658,105.5,5,75593,At Risk
INV001659,41.0,2,36217,At Risk
INV001660,131.33,4,17522,At Risk
INV001661,195.5,3,16743,At Risk
INV001662,60.2,6,67445,At Risk
INV001663,74.25,5,44989,At Risk
INV001665,116.5,3,6533,At Risk
INV001666,55.33,4,63901,At Risk
INV001669,14.5,3,25435,Regular
INV001670,102.33,4,84713,At Risk
INV001671,124.0,4,10205,At Risk
INV001672,34.0,9,90532,Regular
INV001673,49.3,11,81749,At Risk
INV001674,85.33,4,10998,At Risk
INV001677,380.0,2,1987,At Risk
INV001679,134.33,4,48077,At Risk
INV001680,58.88,9,47015,At Risk
INV001681,330.0,2,3536,At Risk
INV001683,72.5,7,80088,At Risk
INV001684,153.0,3,45978,At Risk
INV001685,44.0,2,3921,At Risk
INV001687,94.33,4,20826,At Risk
INV001688,181.0,3,20931,At Risk
INV001689,83.6,6,59823,At Risk
INV001690,81.17,7,62532,At Risk
INV001691,82.0,6,40648,At Risk
INV001692,34.0,2,20440,Regular
INV001693,156.0,3,10973,At Risk
INV001694,66.14,8,146945,At Risk
INV001695,42.75,5,82325,At Risk
INV001696,146.33,4,25192,At Risk
INV001697,62.5,9,118132,At Risk
INV001699,83.2,6,103956,At Risk
INV001701,110.0,5,25429,At Risk
INV001705,58.0,4,51441,At Risk
INV001706,94.0,5,43430,At Risk
INV001707,314.0,2,8387,At Risk
INV001708,171.0,3,45877,At Risk
INV001709,51.8,6,50259,At Risk
INV001711,65.83,7,26390,At Risk
INV001712,66.6,6,66274,At Risk
INV001713,80.25,5,75538,At Risk
INV001714,133.0,3,41699,At Risk
INV001715,68.29,8,103613,At Risk
INV001716,75.67,4,27465,At Risk
INV001718,84.0,6,151909,At Risk
INV001719,103.5,3,30937,At Risk
INV001720,103.5,5,47549,At Risk
INV001721,139.33,4,20770,At Risk
INV001722,191.5,3,58322,At Risk
INV001723,22.5,3,77448,Regular
INV001724,69.67,7,87580,At Risk
INV001725,107.75,5,34638,At Risk
INV001727,145.0,3,24943,At Risk
INV001728,50.57,8,142998,At Risk
INV001730,17.0,2,25174,Regular
INV001731,310.0,2,3122,At Risk
INV001732,153.67,4,31632,At Risk
INV001734,118.67,4,6210,At Risk
INV001735,118.5,5,63636,At Risk
INV001736,112.33,4,12162,At Risk
INV001737,56.83,7,103141,At Risk
INV001738,47.5,9,157288,At Risk
INV001739,52.5,9,113721,At Risk
INV001740,107.25,5,70454,At Risk
INV001741,89.4,6,94729,At Risk
INV001742,51.75,5,61873,At Risk
INV001743,36.0,3,96103,At Risk
INV001744,78.5,7,84479,At Risk
INV001745,170.0,3,7130,At Risk
INV001746,66.75,5,59414,At Risk
INV001747,115.0,5,163668,At Risk
INV001748,101.0,3,7790,At Risk
INV001750,286.0,2,12060,At Risk
INV001751,45.33,4,31172,At Risk
INV001752,69.33,7,50982,At Risk
INV001753,42.8,11,111704,At Risk
INV001754,68.5,3,33899,At Risk
INV001757,55.57,8,16121,At Risk
INV001758,84.67,4,47229,At Risk
INV001759,49.56,10,108215,At Risk
INV001760,163.0,3,21348,At Risk
INV001762,75.0,4,21928,At Risk
INV001763,131.5,3,84161,At Risk
INV001764,147.5,3,10536,At Risk
INV001765,124.67,4,13187,At Risk
INV001766,166.0,2,12011,At Risk
INV001768,2.0,2,4586,Regular
INV001769,98.0,6,28957,At Risk
INV001770,57.0,5,16886,At Risk
INV001772,95.0,6,113146,At Risk
INV001773,53.75,5,43212,At Risk
INV001774,129.5,3,11318,At Risk
INV001775,29.14,8,92864,Regular
INV001777,57.62,9,115340,At Risk
INV001778,63.57,8,54721,At Risk
INV001781,149.0,3,13538,At Risk
INV001782,55.33,4,67852,At Risk
INV001783,88.33,4,97348,At Risk
INV001784,95.0,5,77498,At Risk
INV001785,202.0,3,60168,At Risk
INV001787,62.0,2,16757,At Risk
INV001788,50.0,3,103219,At Risk
INV001789,110.0,2,46694,At Risk
INV001790,133.67,4,58688,At Risk
INV001791,137.0,3,47719,At Risk
INV001792,73.0,5,58999,At Risk
INV001794,70.75,5,99019,At Risk
INV001795,196.5,3,57110,At Risk
INV001796,34.0,3,13849,Regular
INV001797,79.67,7,45355,At Risk
INV001798,49.0,5,101313,At Risk
INV001799,88.33,4,22338,At Risk
INV001800,49.67,7,100392,At Risk
INV001801,85.75,5,32173,At Risk
INV001802,61.67,7,99376,At Risk
INV001803,59.0,6,29638,At Risk
INV001804,55.86,8,97734,At Risk
INV001805,57.33,4,63361,At Risk
INV001806,60.0,8,98260,At Risk
INV001809,95.6,6,66937,At Risk
INV001810,67.0,5,21300,At Risk
INV001811,54.25,9,234390,At Risk
INV001813,140.0,3,33823,At Risk
INV001814,99.0,5,43008,At Risk
INV001815,44.33,4,64065,At Risk
INV001816,51.0,4,89593,At Risk
INV001819,189.0,2,7448,At Risk
INV001820,135.0,4,13161,At Risk
INV001821,167.0,3,21196,At Risk
INV001822,19.8,6,43103,Regular
INV001823,58.14,8,30886,At Risk
INV001825,88.0,4,40031,At Risk
